name,bin[0],bin[1],bin[2],bin[3],bin[4],bin[5],bin[6],bin[7],bin[8],bin[9],bin[10],bin[11],bin[12],bin[13],bin[14],bin[15],bin[16],bin[17]
canvas,24700,11027,13545,13381,12694,12295,12029,12091,11732,11826,11492,11697,11914,12770,14006,11954,24987,97636
canvas,24640,10802,13795,13469,12870,12805,12404,12206,11584,11646,11227,11726,11896,12834,14084,12093,24732,96963
canvas,25013,11139,13458,13133,12637,12196,11851,12052,11535,11648,11046,11840,12006,12827,13879,12058,25064,98394
canvas,24908,11138,13177,13139,12342,12197,12216,12019,11777,11696,11115,11870,11967,12925,13779,11572,25228,98711
canvas,22777,10525,13256,13217,12596,12585,12628,13436,13866,14077,13342,13026,12411,12902,13019,10923,23534,93656
canvas,23446,10696,13138,12738,12251,12256,12615,12999,13750,14092,12968,12620,12304,13108,13599,11182,23322,94692
canvas,22917,10364,12885,12862,12476,12365,12788,13413,14040,14374,13740,13415,12705,13028,13327,10824,22725,93528
canvas,22342,10404,12587,12602,12832,13025,13156,13803,13801,14420,13692,13799,12782,12773,13049,10647,22492,93570
canvas,21985,10362,12552,12983,13070,13458,13461,14051,14012,13946,13409,13342,12937,12647,12845,10818,22632,93266
canvas,23298,10631,12989,13000,12804,12605,12787,12762,12895,12896,12530,12459,12054,12772,13327,11308,23733,96926
canvas,24252,11058,13224,12906,12254,11912,11881,12100,12073,12459,12166,12552,12158,12894,13610,11451,24387,98439
canvas,24306,11456,13233,12500,11697,11664,11700,11717,11545,12209,12059,12260,11830,12676,13501,11572,24854,100997
cushion,6103,3614,4874,6718,9972,17201,29339,45607,51718,40929,25357,15682,10080,7509,5713,4171,8196,38993
cushion,7903,4742,6198,7687,10795,16628,26757,39633,44827,36921,24103,15870,10719,8078,6767,5026,9984,49138
cushion,9300,5638,7022,8235,11048,16569,25020,35952,40824,34119,23008,15463,10945,8827,7533,5766,11474,55033
cushion,10910,6417,7821,9028,11350,15847,23005,32386,37045,31444,21989,15446,11374,9727,8668,6359,12648,60312
cushion,11006,6763,8034,9058,11002,15681,22927,32066,36557,31451,21755,15118,11420,9725,8487,6470,13018,61238
cushion,10549,6388,8019,8913,11111,15892,23608,32844,37489,31916,21538,14552,11120,9482,8531,6683,12500,60641
cushion,8370,5073,6779,7945,10753,16650,26475,38653,43670,35297,22790,14530,10192,8822,7612,5509,10920,51736
cushion,6814,4124,5826,7324,10423,17064,28615,43158,47886,38285,24035,14868,9766,7944,6958,4979,9630,44077
cushion,6210,3996,5035,6569,10003,17144,29213,44718,50987,40595,24848,15924,10607,7675,5823,4337,8452,39640
cushion,8488,5146,6404,7571,10714,16635,26162,38359,43788,35632,23550,15828,11125,8580,7003,5300,10570,50921
cushion,10545,5863,7250,8668,11054,16104,24113,34223,39076,33314,22836,15606,11417,9414,8116,5826,12084,56267
cushion,12113,6922,8618,9330,11164,15436,22024,29770,33817,29630,21277,15280,11281,9902,8972,6812,13786,65642
cushion,12684,7638,9051,9285,11075,14985,21003,28692,32108,28603,20458,14963,11422,10139,9543,7321,14336,68470
cushion,11319,6277,8245,9260,11410,15864,23007,32072,36408,30929,21391,15167,11444,9842,8734,6516,13208,60683
cushion,9278,5552,7005,8324,10874,16778,25400,36554,40597,34002,22784,15069,10849,8931,7711,5865,11670,54533
cushion,7051,4395,5705,7438,10723,17113,28210,41939,47040,37625,23764,15610,10417,8387,6838,5017,9861,44643
cushion,6177,4060,5014,6498,9606,16380,28664,46570,52956,40202,24005,15292,10486,7670,6111,4350,8589,39146
cushion,8350,4984,6401,7843,10495,16307,25994,39128,44886,36940,24000,15909,11349,8602,7100,5002,10274,48212
cushion,10973,6371,7986,8833,10922,15334,22884,33002,38202,32518,22211,15420,11480,9464,8320,6317,12675,58864
cushion,12110,7200,8275,8808,10623,14866,21353,29953,33672,29576,21034,14665,11217,9491,9097,7207,13562,69067
cushion,12727,8060,8825,8810,10389,14322,20419,28303,32495,28703,20337,14353,10750,9661,9298,7622,14465,72237
cushion,11412,6655,8204,8928,11011,15388,22730,32145,35746,31255,21450,14898,11258,9613,9006,6608,13359,62110
cushion,9077,5562,6932,8239,10851,16389,25432,36560,40964,34372,23011,15610,11157,8983,7563,5714,11647,53713
cushion,6759,4410,5597,7210,10598,17252,28482,42602,47198,37986,24161,15792,10825,8230,6499,4811,9800,43564
cushion,5692,3778,4640,6158,9077,15912,29303,48781,55669,40880,24621,15535,10372,7445,5577,3848,8124,36364
cushion,8172,5051,6330,7702,10367,16068,26343,39441,45812,36797,24297,16152,11142,8605,6982,4961,10039,47515
cushion,9965,5772,7589,8459,10827,15494,23994,35029,41388,34680,22938,15823,11451,9499,7997,5714,11601,53556
cushion,11700,7278,8346,8908,10632,14770,21624,30955,36279,30661,21559,15159,11701,10207,8901,6960,12971,63165
cushion,11953,7695,8817,9034,10447,14518,20978,29871,34673,30425,20808,15049,11450,10199,9292,7220,13535,65812
cushion,10627,6515,7679,8464,10602,15442,23645,34121,38624,32810,22075,15125,11309,9719,8356,6146,12468,58049
cushion,8760,5217,6468,7716,10410,16232,26400,38038,43056,35329,23353,15167,10863,8657,7429,5407,10990,52284
cushion,6702,4099,5195,6548,9694,16656,28977,44971,49675,39552,24415,15321,10172,7773,6091,4631,9328,41976
cushion,5962,3509,4979,6662,9798,16387,28918,46748,54585,41668,25970,15816,10163,7640,5756,3843,7850,35522
cushion,7938,4707,6303,7685,10362,16172,26289,40463,47102,38314,24314,16090,10783,8642,6914,4845,9582,45271
cushion,9838,6064,7649,8848,10891,15432,23486,34560,41333,34391,23030,16127,11940,9674,8064,5839,11114,53496
cushion,10536,7216,8290,8857,10507,14688,22171,32822,39355,33057,21685,15536,11907,10241,8736,6414,12023,57735
cushion,10387,7287,8019,8505,10154,14513,22223,33312,40057,33415,21989,15041,11455,9954,8507,6598,12175,58185
cushion,9760,6195,7226,8118,10562,15292,24221,35603,41337,34418,22654,14923,10890,8986,7926,5989,11800,55876
cushion,8047,4796,6045,7259,10026,15936,26688,41389,46818,37545,23179,14705,10245,8258,6982,5161,10460,48237
cushion,6107,3791,4849,6166,9201,16087,29315,47580,53812,40932,24185,14768,9476,7481,6111,4178,8657,39080
linsseeds,7642,4773,7090,8564,9638,12850,20333,42735,65968,38607,19485,13433,10928,9740,7887,4859,8528,38716
linsseeds,8732,5108,7276,8748,9831,12592,20034,41147,62871,37764,19481,13547,10710,9924,8469,5332,9177,41033
linsseeds,10063,6226,8371,9327,9963,12734,19297,37376,56299,35229,18089,13343,11070,10900,9537,6258,10653,47041
linsseeds,10508,6862,9022,9769,10144,12767,18899,35905,53407,33365,17777,12801,11198,10840,10170,6805,11235,50302
linsseeds,10152,6635,8643,9716,10335,13002,19196,36878,54056,34227,17795,13191,11224,10964,9774,6584,10804,48600
linsseeds,8874,5313,7457,8933,10519,14071,21504,41807,58769,35645,17876,12790,10853,10557,8992,5717,9834,42265
linsseeds,7763,4452,6368,8440,10332,14482,22692,44641,62678,37013,18679,13340,10907,10136,8282,4903,8817,37851
linsseeds,7595,4452,6022,7940,10018,14535,23839,45319,62785,37110,19091,13525,10859,9668,7926,4824,8465,37803
linsseeds,7454,4869,7012,8495,10084,13510,20441,41917,65940,38765,19642,13527,10909,9708,7964,4970,8610,37959
linsseeds,8768,5443,7776,9086,10097,13411,20115,40118,60529,36331,18852,13478,11308,10431,8817,5445,9574,42197
linsseeds,11471,6862,9000,9782,9997,12533,18315,34874,51871,33066,17384,12942,11095,11281,10369,6884,11764,52286
linsseeds,12754,7595,9512,9634,9789,12297,18001,33031,47486,30514,16568,12545,11102,11208,10739,7807,12896,58298
linsseeds,12307,7431,9109,9875,10483,12568,18302,34015,48644,30642,16438,12452,10931,11462,10968,7497,12511,56141
linsseeds,10515,5837,8041,9462,10425,13523,20398,38199,54520,33682,18003,12881,11179,10765,9662,6220,10740,47724
linsseeds,8740,4946,6997,9064,10723,14400,22045,42000,59412,35337,18297,13460,11363,10758,8739,5329,9421,40745
linsseeds,6947,4552,5987,8036,10049,14470,23037,45311,64015,38371,19421,13665,11014,9727,7722,4764,8261,36427
linsseeds,6974,4835,6651,8430,10085,13348,20842,43237,65760,39823,19789,13690,10918,9792,7764,4764,8256,36818
linsseeds,8746,5352,7748,9477,10526,13698,20180,39576,59083,36269,19053,13823,11341,10534,9064,5665,9474,42167
linsseeds,11782,7258,9469,10119,10430,12555,17854,33945,49704,31384,16993,13073,11301,11545,10572,7282,12342,54168
linsseeds,13084,7802,9593,10025,9773,11895,17012,31915,47131,30164,16377,12234,10634,11067,11172,8066,13256,60576
linsseeds,13004,7866,9762,10119,10163,12265,17580,31581,45685,30035,16528,12576,11029,11348,11146,8069,12997,60023
linsseeds,11259,6529,8997,9850,10563,13256,19218,35248,50641,32072,17595,13109,11202,11302,10342,6821,11783,51989
linsseeds,9022,5295,7356,8912,10427,13969,21339,41182,58118,35695,18581,13519,11326,10791,8964,5367,9783,42130
linsseeds,6958,4498,6275,8160,9868,13985,22478,45474,65856,38109,19402,13719,10951,9570,7634,4639,8286,35914
linsseeds,7312,4731,6733,8754,10226,13737,21439,42546,63503,39139,20530,14348,11263,9772,7610,4632,8443,37058
linsseeds,8171,4942,7367,8963,10360,13832,21159,41977,61457,36912,19014,13775,11412,10463,8319,5060,9070,39523
linsseeds,10561,6254,8402,9533,9858,12634,18660,37006,55596,34640,17892,12971,11003,10914,9717,6239,11040,48856
linsseeds,11969,7546,9387,9749,9977,12381,17974,33711,49299,31094,16844,12553,10885,11251,10788,7571,12339,56458
linsseeds,12050,7290,9383,9975,10094,12685,18447,33721,49063,31161,16819,12547,11089,11426,10696,7397,12266,55667
linsseeds,11100,6191,8704,9761,10463,13160,19044,36615,53015,32491,17602,13199,11421,11207,9941,6651,11275,49936
linsseeds,8984,5244,7692,9083,10393,13674,20762,40431,58214,35667,18762,13729,11415,10347,8736,5440,10056,43147
linsseeds,7453,4668,6476,8208,9869,13526,21731,43970,65105,38143,19058,13225,10579,9677,7937,4948,8776,38427
linsseeds,7354,4577,6491,8403,10381,13480,21514,42923,63328,39738,20786,14316,11088,9622,7662,4517,8295,37301
linsseeds,8172,4929,7257,8799,10186,13503,21011,41545,61066,38111,20230,14388,11376,10196,7899,4902,8830,39376
linsseeds,8878,5817,7947,9279,10170,13264,19958,39623,58244,36108,19059,13595,11372,10682,8935,5612,9719,43514
linsseeds,9644,6772,8455,9546,10265,12862,19434,37232,54807,34016,18206,13118,11129,10842,9553,6564,10892,48439
linsseeds,9667,6525,8668,9657,10174,12970,19068,37792,55332,34279,18326,13163,11225,10741,9533,6469,10614,47573
linsseeds,9083,5652,7960,9114,9861,12741,19585,40130,60781,36276,18683,13372,11180,10725,8994,5687,9199,42753
linsseeds,7983,4592,6887,8426,9911,13722,21457,42576,63518,38576,19618,13809,10828,9916,8202,4865,8520,38370
linsseeds,7680,4725,6848,8326,9903,13087,20894,43193,65463,38716,19103,13207,10495,9544,7915,4936,8799,38942
sand,8459,3941,5931,8150,11513,18704,29584,44346,46371,34136,23610,17968,13682,10295,6844,3890,9317,35035
sand,8731,4456,6358,8811,12017,18119,28504,42136,44589,33815,23649,17886,13597,10116,7449,4255,9645,37643
sand,9299,5174,7053,9348,11884,18326,27427,40068,42764,32003,22324,17092,13576,11180,8165,4976,10184,40933
sand,9050,5244,7125,9224,12059,18083,27327,39738,43176,32111,22371,16985,13461,10829,8423,5076,10081,41413
sand,8124,4666,6390,8496,11833,18006,27820,42115,46220,34803,23520,17411,13489,10210,7244,4507,9334,37588
sand,6825,3867,5364,7288,10947,17349,28746,45825,51764,38744,24654,17159,12515,9045,6202,3776,8169,33537
sand,6024,3682,4869,6902,10026,16963,28824,48015,56209,40308,24417,16527,11603,8785,6118,3558,7589,31357
sand,5571,3300,4676,6609,9626,16209,27658,49622,61250,42963,23867,15644,11286,8520,5775,3390,6885,28925
sand,8974,4203,6121,8730,12085,18508,29467,42430,44146,32562,23660,18459,13985,10477,7190,3977,9807,36995
sand,9398,4599,6538,8946,12310,18880,28562,41460,42791,31527,22535,17511,14067,10799,7856,4499,10172,39326
sand,9791,5197,7356,9435,12457,18425,27423,38342,41796,30735,21906,17198,14112,11372,8372,4954,10545,42360
sand,9576,5324,7451,9570,12490,18301,27238,38968,41293,30678,21639,16978,13886,11479,8515,5206,10513,42671
sand,8655,4813,6634,9097,12062,18386,27815,40713,44603,33253,22638,17096,13637,10906,7870,4689,9621,39288
sand,7376,4283,5645,7883,11174,18105,28694,44033,48905,36547,24061,17165,12649,9467,7001,4219,8694,35875
sand,6962,4163,5515,7552,10698,17629,28663,45114,51135,37682,24066,16834,12174,9521,6871,4160,8284,34753
sand,6153,3812,5173,7300,10500,16922,27604,46564,55251,40663,24362,16332,11735,8945,6506,3850,7615,32489
sand,9534,4329,6248,8829,12465,18898,29234,41341,43623,31498,22014,17637,14201,10988,7542,4287,10351,38757
sand,9992,4865,6913,9309,12663,18487,27763,39523,41800,30622,21746,17487,14159,11077,8203,4679,10809,41679
sand,10784,5639,7676,9951,13024,18325,27031,37548,38397,28609,20587,16779,14040,11638,9080,5439,11652,45577
sand,11007,5907,8189,10493,13017,18345,26069,35946,37164,27835,20347,16746,13952,11851,9455,5915,11884,47654
sand,9724,5231,7213,9527,12945,18553,27219,39238,41010,30512,21526,16920,13796,11218,8701,5332,10502,42609
sand,8610,4607,6383,8823,12280,18403,28325,42030,44374,33162,22391,16885,13525,10800,7787,4696,9637,39058
sand,7712,4282,5894,8135,11429,17948,28712,43474,48508,35638,22995,16577,12680,10014,7409,4384,8972,37013
sand,6817,4023,5597,7668,10723,17083,28143,45290,52173,38629,23749,16312,12188,9735,6941,4043,8303,34359
sand,9920,4528,6868,9475,12531,18689,28282,40424,41776,30545,21840,17980,14218,11145,7851,4468,10868,40368
sand,10555,5018,7091,9617,12693,18880,27902,38716,40064,29234,21124,17068,14343,11743,8580,4882,11176,43090
sand,11191,5549,7701,10061,13033,18637,26823,36855,37777,27819,20166,16429,14015,12096,9234,5598,11906,46886
sand,11545,6066,8247,10638,13251,18139,25686,35108,36876,26967,19692,16226,14172,12441,9579,5998,12119,49026
sand,10770,5765,7952,10076,12867,18252,26540,36714,38659,28534,20313,16494,14151,11815,9196,5559,11667,46452
sand,9648,4977,6946,9418,12436,18492,27906,39901,41474,30727,21614,17114,13848,11336,8567,4960,10391,42021
sand,8344,4284,6230,8507,11693,18314,28489,43200,46528,34041,22541,16596,12870,10328,7741,4622,9493,37955
sand,7236,3882,5563,7836,10964,17409,28449,44890,51571,37907,23655,16530,12437,9665,6949,4184,8386,34263
sand,10232,4621,6835,9874,13244,18936,27845,39644,41395,29850,21218,17317,14252,11616,8316,4757,10979,40845
sand,10819,5195,7667,10023,12857,18679,26977,37567,38924,28868,20982,17236,14463,11531,8825,4994,11610,44559
sand,11668,5666,7970,10184,12950,18047,25889,36018,36928,28159,20232,16944,14104,12159,9472,5588,11908,47890
sand,11123,5626,7909,9971,12745,18131,26587,36816,38121,28220,20147,16427,13936,11858,9206,5597,11827,47529
sand,10746,5414,7758,9815,12758,18066,26407,37287,38818,29604,20765,17102,13849,11597,8835,5478,11364,46113
sand,10053,4939,7089,9357,12293,18463,27589,39664,41086,30567,21586,17027,13932,11153,8182,4923,11041,42832
sand,8579,4449,6260,8729,11869,18429,28514,42454,45254,33474,23037,17490,13387,10590,7503,4378,9565,37815
sand,7621,4027,5788,8185,11427,17722,28358,43561,49720,36830,24035,17392,13123,9684,6908,4043,8734,34618
seat,25056,13130,13968,11702,10874,10411,10367,10398,10194,9808,9072,9015,8949,10311,13444,13164,27307,114606
seat,24952,12722,13669,11791,11097,10809,10726,10764,10617,10138,9286,9146,9096,10369,13242,13208,26768,113376
seat,24346,12713,13537,11994,11221,11195,11198,11107,10722,10171,9136,8946,9260,10435,13141,13007,26690,112957
seat,24556,12884,13767,12143,11015,10944,10776,10851,10212,9942,8882,8895,9140,10005,13194,13286,27274,114010
seat,24764,13004,13521,11782,10775,10849,10476,10550,10031,9846,8765,8809,8950,10340,13080,13505,27054,115675
seat,24876,13016,13757,11647,10970,10782,10372,10580,10146,9878,8931,8670,9124,10199,12974,13342,27197,115315
seat,25417,13166,13612,11318,10742,10287,10431,10406,10113,9603,8967,8740,9063,10316,13272,13269,27252,115802
seat,24513,12980,13299,11798,10831,10833,10946,11046,10749,10340,9441,9224,9280,10443,13216,13007,26487,113343
seat,25351,12955,13899,11784,10872,10462,10277,10659,10005,9922,8882,8946,9249,10342,13259,13124,27543,114245
seat,25147,12726,13684,11735,10902,10837,10581,10536,10167,9852,9030,8880,9303,10284,13374,13300,27025,114413
seat,24724,13019,13886,11690,10895,10821,10646,10598,10289,9740,8848,8885,8926,10140,13309,13389,27500,114471
seat,25026,13060,13629,11742,10814,10584,10294,10148,9832,9405,8434,8570,9108,10445,13319,13585,27795,115986
seat,25269,13095,13696,11426,10970,10762,10135,10053,9737,9431,8536,8686,8679,9976,13172,13680,28167,116306
seat,25614,13321,13475,11139,10474,10401,10189,9892,9687,9338,8489,8531,8858,10008,13190,13554,28071,117545
seat,25365,12937,13409,11623,10803,10681,10192,10241,9987,9751,8872,9022,8917,9983,12997,13598,27548,115850
seat,24955,12555,13678,11731,10784,10681,10870,10977,11027,10309,9325,9428,9179,10270,12998,12955,26865,113189
seat,25822,13084,13686,11575,10420,10290,10308,10210,9890,9752,8982,8828,8952,10197,13191,13534,27872,115183
seat,24660,12686,13440,11708,11081,11063,10865,10849,10416,10126,9194,9234,9286,10544,12971,13213,27091,113349
seat,24471,12607,13414,11735,11454,11098,11018,10711,10396,10006,9287,9072,9169,10335,13263,13236,27101,113403
seat,25570,13011,13896,11966,10909,10499,9995,9943,9592,8993,8260,8442,8829,10342,13313,13978,28359,115879
seat,25647,13156,13835,11656,10816,10260,9775,9662,9285,9039,8184,8517,8747,10181,13295,14061,28469,117191
seat,25340,13041,13592,11552,10692,10439,10275,10145,9788,9637,8787,8878,8856,10167,13336,13605,27862,115784
seat,25737,13328,13899,11427,10369,10363,9811,9959,9621,9406,8499,8829,8705,10104,13058,13597,28219,116845
seat,25185,12721,13708,11715,10904,10621,10641,10652,10436,10150,9227,8873,9001,10349,13223,13149,27464,113757
seat,25574,12766,13768,11560,10467,10313,10456,10483,10214,9946,9093,8966,9209,10399,13224,13458,27731,114149
seat,24868,12694,13377,11622,10966,11067,10881,10761,10434,10344,9184,9143,9396,10399,13234,13245,27223,112938
seat,24460,12522,13427,11740,11372,11169,11007,10710,10338,10101,9228,9202,9330,10444,13333,13425,27226,112742
seat,25226,12683,13764,11671,11148,10633,10243,10429,9808,9594,8568,8717,9081,10492,13512,13755,27887,114565
seat,25445,12970,13666,11827,10955,10387,10027,10042,9565,9303,8529,8553,9166,10238,13680,13893,28229,115301
seat,25462,12897,13618,11278,10767,10421,10459,10276,9780,9726,8541,8878,9033,9978,13133,13639,28080,115810
seat,25699,13141,13756,11532,10628,10179,10296,10086,9657,9487,8500,8697,8902,10171,13299,13417,28383,115946
seat,25673,12991,13730,11577,10502,10660,10452,10318,9927,9594,8901,8866,8968,10201,13095,13224,28163,114934
seat,24935,12940,13574,11402,10629,10697,10650,10740,10487,10231,9278,9282,9257,10534,13118,13283,27527,113212
seat,24700,12670,13502,11730,11015,10914,10821,10942,10642,10204,9266,9222,9304,10400,13082,13415,27504,112443
seat,24953,12322,13464,11611,11273,10996,10854,11228,10628,10176,9357,9143,9314,10381,13107,13417,27416,112136
seat,25247,12607,13955,11816,11090,10645,10421,10487,10046,9618,8520,9053,9035,10482,13590,13821,27999,113344
seat,25418,12965,13843,11969,10959,10615,10282,10037,9828,9348,8429,8638,9239,10287,13621,13879,28383,114036
seat,25303,13145,13679,11659,10865,10634,10322,10214,9902,9415,8639,8585,8824,10136,13228,13868,28424,114934
seat,25407,12827,13627,11559,10858,10748,10288,10390,9883,9636,8777,8709,8880,10185,13404,13698,28451,114449
seat,25776,13045,13836,11493,10455,10369,10038,10322,9855,9619,8516,8556,8696,9906,13438,13781,28960,115115
stone,10913,5868,8489,10936,13905,18230,24149,31691,35540,31662,24032,18565,14749,11718,8733,5094,11605,45897
stone,12475,6359,9099,12037,14573,17943,22897,28962,31604,28294,22341,18257,15345,12589,9281,5775,13309,50636
stone,14354,6912,9931,12430,14253,17285,20792,26195,28794,26517,21912,18256,15402,12878,9922,6126,14466,55351
stone,14975,6672,10042,12599,14360,17482,20919,25528,27951,25947,21600,17931,15405,13022,10087,6136,15029,56091
stone,14794,6306,9544,12369,14507,17589,21372,25828,28567,26571,22574,18551,15334,12808,9675,5850,14643,54894
stone,14288,5903,9050,12025,14655,18030,22141,26802,29489,28058,23044,19193,15496,12511,9167,5602,13964,52358
stone,13247,5435,8315,11181,14579,18762,23363,28887,31861,29774,24368,19454,15271,11906,8732,4870,13147,48624
stone,12177,5104,7972,10971,14698,19416,24085,30437,33433,31006,24665,19563,14948,11422,8436,4798,12489,46156
stone,11235,6091,8843,11504,13994,17935,23254,30922,34826,30891,23453,18660,15160,11888,9036,5339,11915,46830
stone,13633,6910,9725,12239,14404,17165,21468,27086,29916,27640,22052,18282,15301,12779,9986,6041,13715,53434
stone,15258,7162,10549,12693,14558,16598,20036,24561,27241,25314,20795,17859,15224,13235,10505,6623,15178,58387
stone,16278,7078,10481,12858,14573,16886,19678,23601,25706,23933,20290,17498,15289,13411,10777,6794,16125,60520
stone,15971,6901,10295,12754,14326,16829,20376,24068,26227,24823,20970,17880,15380,13331,10480,6510,15645,59010
stone,14936,6285,9460,12512,14759,17666,21737,25696,27794,26361,22354,18814,15409,12707,9895,5847,14744,54800
stone,13876,5776,9022,12017,14481,18130,22521,27123,29851,29031,23550,19350,15301,12238,9016,5332,13907,51254
stone,12599,5300,8177,11202,14389,18998,24130,29636,32522,30600,24807,19575,15165,11705,8363,5029,12492,47087
stone,11414,6320,9139,11628,13750,17758,22733,30646,34999,30090,22761,18065,14938,12011,9271,5718,12154,48381
stone,13859,7127,10238,12539,14182,16971,20862,26062,29978,26681,21206,17479,15426,13294,10296,6420,14079,55077
stone,15941,7564,11049,13200,14289,16282,19267,23454,25373,24113,20069,17115,15299,13671,11085,7056,15857,61092
stone,16997,7708,11174,13153,14137,16013,18653,22441,24222,23001,19369,16776,14826,13620,11258,7196,16934,64298
stone,16555,7209,10578,13134,14834,16630,19286,22885,25163,23785,20090,17093,15136,13320,11210,6798,16468,61602
stone,15418,6433,9749,12250,14857,17460,21329,25301,27160,25642,21464,18135,15312,13174,9967,6149,15249,56727
stone,14348,5794,9139,12024,14978,18166,22159,26803,29393,27853,22962,18843,15357,12555,9346,5574,14204,52278
stone,12621,5376,8122,11290,14539,19098,24002,29483,32178,30202,24429,19671,15355,11734,8438,4966,12809,47463
stone,10844,6245,9246,11830,13974,17391,23257,31576,35729,30489,22601,18215,14789,12331,9142,5503,11953,46661
stone,13483,7073,10188,12533,14254,17108,21334,27036,29897,26962,21176,17766,15201,13187,10170,6317,13988,54103
stone,15048,7219,10683,13093,14358,16679,19961,24936,27381,24690,20242,17518,15124,13493,10859,6739,15234,58519
stone,16287,7676,11016,13150,14341,16116,19108,23392,25313,23557,19302,16892,15036,13403,11347,7181,16217,62442
stone,16369,7181,10644,12914,14512,16453,19583,23909,25809,23959,20343,17176,15347,13454,10891,6673,16101,60458
stone,15224,6337,9856,12685,14636,17243,21098,25350,27887,26319,21766,18189,15311,12958,10110,5959,14973,55875
stone,13970,5659,8841,12014,14919,18167,22335,27604,30797,28448,22711,18465,15348,12533,9244,5451,13858,51412
stone,12465,5408,8098,11276,14265,18782,23607,30241,33369,31121,24471,19138,14842,11829,8573,4862,12591,46838
stone,10280,5811,8615,11116,14009,17649,23854,32882,37593,32090,23393,18471,14619,11627,8690,5301,11105,44671
stone,11947,6379,9515,11855,14009,17407,22346,30253,33879,29675,22161,17821,14902,12441,9622,5741,12670,49153
stone,13719,6873,10123,12690,14142,16706,21038,27232,30805,27032,21061,17584,14916,13034,10363,6358,13963,54137
stone,15112,6956,10428,12929,14513,16822,20393,25047,28084,25362,20698,17456,15158,13363,10587,6704,14916,57248
stone,14871,6671,10150,12782,14489,17230,20862,25740,28213,25809,20968,17627,15119,13312,10429,6421,14842,56241
stone,13906,6206,9460,12258,14584,17391,21532,27400,31040,27833,22462,18235,15195,12707,9723,5570,14054,52220
