name,bin[0],bin[1],bin[2],bin[3],bin[4],bin[5],bin[6],bin[7],bin[8],bin[9]
cushion,11248,15411,23871,50731,83433,57204,29376,17601,16941,25960
cushion,12462,16422,24286,49657,79992,56073,30159,17831,17520,27374
cushion,14704,19423,25232,46184,71700,52042,30298,20378,20287,31528
cushion,15283,20355,25014,44948,71243,50696,30111,21192,20562,32372
cushion,13512,17334,24850,47990,77268,53967,29996,18533,18986,29340
cushion,12271,16179,24232,49543,81824,55625,29109,18123,17759,27111
cushion,8914,13878,22368,53034,90963,59775,28674,16546,15387,22237
cushion,7057,12928,20223,55746,98674,62432,27505,14815,13257,19139
cushion,10008,14974,22588,52176,87055,59647,29115,16305,15749,24159
cushion,12556,17448,24236,48949,77557,55623,30376,18681,18132,28218
cushion,16511,20481,25264,43497,68124,49503,30246,21430,22093,34627
cushion,17027,21235,25031,42819,67306,48586,29918,21849,22586,35419
cushion,13290,18374,24666,47971,74742,54043,30659,19423,18964,29644
cushion,11310,16252,23495,51236,81480,56892,29907,17635,17301,26268
cushion,8122,14199,21810,54602,91209,61001,29051,16323,14588,20871
cushion,6865,11347,19455,54984,104305,63036,26604,13815,12741,18624
cushion,10464,14135,22262,51128,89943,58818,28492,16284,15979,24271
cushion,11349,15691,22945,49348,85695,57968,29245,17176,16720,25639
cushion,13839,19089,23696,45969,76925,53264,29575,19772,19381,30266
cushion,14270,20066,23701,44825,74965,52021,29854,20842,20032,31200
cushion,12598,16800,23525,49233,79734,55801,29532,18421,18171,27961
cushion,11691,15271,23451,50203,83601,56604,29102,17623,17647,26583
cushion,8293,12879,21502,53892,94640,60960,28018,15876,14633,21083
cushion,7234,10883,20022,54753,104835,62961,26553,13427,12674,18434
cushion,10415,13101,22323,50182,95460,58961,27551,15842,15147,22794
cushion,12012,15838,23399,47825,86531,56862,28903,17778,16736,25892
cushion,11347,18482,22416,46623,85927,56117,29310,18912,16840,25802
cushion,11283,18848,21801,46637,86142,55776,28712,19183,17385,26009
cushion,12675,16368,23139,47763,84535,55080,28530,18372,18074,27240
cushion,10922,13891,22576,50036,90842,57270,27642,17091,16683,24823
cushion,8214,11925,20598,53483,100535,60372,26735,14982,14333,20599
linsseeds,5660,10137,13857,49264,127565,59314,22600,13549,12307,17523
linsseeds,5827,10337,14020,48689,126700,59511,22497,13724,12818,17653
linsseeds,6723,12647,15227,48442,118447,57451,23802,15585,14057,19395
linsseeds,6882,14332,15930,48925,114701,55919,24245,16560,14358,19924
linsseeds,6571,13995,16114,49297,115621,57112,24249,16017,13752,19048
linsseeds,5662,11041,14915,51729,124210,57670,22739,14272,12415,17123
linsseeds,5082,9585,14046,52001,127632,59439,22690,13292,11833,16176
linsseeds,5193,9950,13871,52393,125762,59478,22638,13678,12001,16812
linsseeds,4863,10623,13537,49629,128632,60007,22444,13305,12230,16506
linsseeds,5669,11286,14687,49731,124806,58112,23351,14243,12482,17409
linsseeds,7596,13853,16572,48212,112632,56004,24603,16648,14741,20915
linsseeds,8913,15672,17253,48425,104248,54048,25068,18257,16589,23303
linsseeds,8423,15248,17096,48925,106476,53837,25522,17823,15865,22561
linsseeds,6734,12454,16150,51065,116236,56645,24463,15392,13326,19311
linsseeds,5199,10740,14333,52470,124507,58586,23425,13822,12024,16670
linsseeds,4513,10033,12760,51541,128307,61068,22586,13267,11741,15960
linsseeds,4480,10532,13114,50126,129322,60523,22825,13346,11524,15984
linsseeds,5357,11813,14767,50211,123337,58984,23966,14236,12096,17009
linsseeds,7699,14810,16920,48856,108583,55436,25737,16968,15276,21491
linsseeds,9371,16327,17640,47225,102129,53163,25264,18734,17450,24473
linsseeds,9412,16325,18378,47689,102740,52492,25921,18415,16529,23875
linsseeds,7359,14052,16552,50223,110257,56235,25065,16400,14684,20949
linsseeds,5218,11374,14093,51757,122714,58991,23837,13971,12453,17368
linsseeds,4274,9939,12677,51402,130429,60638,22266,12789,11716,15646
linsseeds,4794,10250,13868,50949,127527,60700,22968,13021,11506,16193
linsseeds,5290,10701,14332,51139,126424,59201,23136,13345,11728,16480
linsseeds,6794,13312,15789,49338,115828,57142,24221,15630,13958,19764
linsseeds,8492,15770,17333,47919,106977,53894,25238,17834,15938,22381
linsseeds,8320,15189,17563,48482,107615,53542,25145,17673,15709,22538
linsseeds,7242,13202,16505,49459,114612,55696,24767,16016,14070,20207
linsseeds,5903,11001,14672,50194,121502,58931,23600,14312,13266,18395
linsseeds,4906,10328,12985,50258,128217,59935,22230,13367,12638,16912
linsseeds,5344,10189,14742,50149,125590,60332,23302,12969,12067,17092
linsseeds,5501,10452,14562,50600,125048,59724,23500,13233,11872,17284
linsseeds,6003,12097,15333,49951,120997,58103,23674,14764,12777,18077
linsseeds,6120,14120,15682,49569,116349,56596,24239,16262,13880,18959
linsseeds,6091,13646,15389,49123,118393,56751,24094,15843,13476,18970
linsseeds,6176,11297,14712,49379,124618,57577,23005,14414,12531,18067
linsseeds,5508,9896,14225,49668,127689,59799,22476,13471,12063,16981
linsseeds,5720,10397,13886,49623,126512,58968,22283,13587,12767,18033
sand,3933,8928,13121,59803,124845,66376,22350,10110,9004,13306
sand,4334,10160,14354,58617,120416,65539,23540,11027,9482,14307
sand,4926,11404,15332,58575,115924,63400,24248,12475,10120,15372
sand,4896,11921,16114,57486,114439,62575,24980,12928,10585,15852
sand,4555,10593,15079,57474,117630,65084,24220,11925,10078,15138
sand,4286,9206,14037,56817,120661,67349,23616,11171,10019,14614
sand,3963,8923,13066,55734,123404,68100,23069,10997,10020,14500
sand,3513,8154,11798,55139,129511,69523,21536,10242,9231,13129
sand,4142,9322,13580,60075,122432,66074,23081,10350,9043,13677
sand,4655,10351,14648,59797,118745,63373,24157,11457,9733,14860
sand,5249,11668,16071,58671,113532,62352,24902,12808,10337,16186
sand,5261,12108,16442,58338,113067,61674,24899,13353,10494,16140
sand,4750,11172,15520,57984,116111,63978,24456,12399,10137,15269
sand,4550,10050,14577,57454,118194,65735,23765,11718,10361,15372
sand,4369,9634,13859,57000,119174,66577,24110,11603,10133,15317
sand,3975,8789,13228,55305,120973,69415,23615,11402,10082,14992
sand,4493,9409,14161,60289,121031,63797,23907,10843,9525,14321
sand,5059,10724,15293,59667,116134,62648,24651,11775,10208,15617
sand,5826,11978,16965,59255,110871,60460,25497,13408,10668,16848
sand,5973,13083,17506,58730,108281,59502,25878,14140,11090,17593
sand,5299,11681,16396,58517,113784,62261,24279,13083,10425,16051
sand,4958,10764,15386,58549,115762,63795,24396,12417,10378,15371
sand,4539,10002,14585,57870,117935,65077,23843,12052,10497,15376
sand,4182,9097,13845,55975,119472,67654,23916,11796,10477,15362
sand,4724,9879,14560,59703,119266,63678,24376,10833,9804,14953
sand,5343,10592,15802,60072,114817,61746,25044,12026,10374,15960
sand,6066,12048,17037,59069,109817,59692,25697,13559,11208,17583
sand,6328,13014,17930,58509,107087,58886,25862,14619,11425,18116
sand,6004,12481,17006,58648,109489,59951,25742,13731,11120,17604
sand,5408,11233,16059,59213,112506,62506,25206,12736,10617,16292
sand,4670,10052,14954,58576,117541,64361,23989,12119,10309,15205
sand,4187,9060,13567,57089,120446,67570,23224,11375,10379,14879
sand,4853,9782,15329,59865,119363,62189,24364,11361,9715,14955
sand,5553,11148,16522,59205,112989,61638,25393,12402,10586,16340
sand,6077,12594,17443,58540,107951,59876,26317,13930,11359,17689
sand,6078,12776,17177,58491,107729,59863,26440,14087,11413,17722
sand,5889,12336,16768,58443,108647,61195,25875,13616,11402,17605
sand,5482,11088,15728,59724,112326,62604,24994,12459,10915,16456
sand,4622,10058,14607,58574,118373,64835,23945,11606,9959,15197
sand,4057,9054,13431,57919,121265,67739,23110,10928,9793,14480
seat,28251,29348,28250,33515,37772,32105,28688,29302,32044,52501
seat,28258,29078,28786,34039,37111,32455,28691,29019,31885,52454
seat,28162,29257,28475,34359,37013,32610,28720,29044,31799,52337
seat,28624,29330,28641,34006,36338,32367,28337,29694,32051,52388
seat,28790,29724,28498,33693,35392,32129,28506,29738,32421,52885
seat,29167,29485,28465,33438,34988,31752,28654,29480,32698,53649
seat,29032,29665,28229,33139,35639,31690,29093,29241,32562,53486
seat,28196,29023,28215,33951,37970,32280,28852,29025,31753,52511
seat,27244,29667,28697,34423,37729,33167,28425,29436,31441,51547
seat,28362,29602,28691,33871,36224,32283,28833,29257,32173,52480
seat,29182,29594,28138,33392,35433,32061,28686,29532,32671,53087
seat,29021,29495,28326,33426,35003,32461,28392,29765,32776,53111
seat,29506,29823,28275,33139,34500,31360,28352,29905,33369,53547
seat,29727,30361,28186,32147,33733,31310,28670,30126,33366,54150
seat,28692,29873,28590,33545,35360,31793,28587,29700,32578,53058
seat,27103,29612,28477,34879,38280,33102,28939,29124,31085,51175
seat,27094,29915,28414,34356,37478,33175,28840,29266,31528,51710
seat,28235,29664,28579,33925,36287,32526,28901,29288,32155,52216
seat,28298,28981,28512,34433,36648,32907,28529,29120,32155,52193
seat,29186,29574,28336,33126,35316,31548,28278,29999,33296,53117
seat,29686,29930,27977,32595,34387,31442,28316,30193,33468,53782
seat,28871,29984,28452,33214,34903,31963,28851,29517,33120,52901
seat,28956,29870,28222,33098,34815,32056,28552,29827,32724,53656
seat,26987,29742,28605,34990,37181,33413,28856,29329,31209,51464
seat,27086,29716,28444,34575,37600,33584,29038,29145,31348,51240
seat,27979,29256,28722,34081,36610,33249,28993,29284,31890,51712
seat,27901,28979,29010,34507,36494,33152,28864,29289,32133,51447
seat,28353,29279,28273,34170,36210,32587,28700,29522,32520,52162
seat,28779,29436,28393,33491,35500,32273,28286,29672,32930,53016
seat,29141,29665,28178,33160,34987,31703,28541,29847,33102,53452
seat,28508,29927,28310,33361,35561,32404,29012,29575,32417,52701
seat,27151,29907,28546,34128,37580,32710,29036,29411,31645,51662
seat,27662,29011,28656,33591,38048,32931,29154,29046,31941,51736
seat,27711,28837,28741,34396,37232,33163,29117,29265,31807,51507
seat,27537,28652,28588,34974,37621,33634,29027,28983,31766,50994
seat,27547,28872,28786,34670,37030,33505,28736,29258,31996,51376
seat,27821,29043,28839,34627,36347,32673,28868,29699,32169,51690
seat,28164,29463,28507,33725,36120,32456,28829,29512,32556,52444
seat,28256,29251,28520,33625,36358,32336,29041,29580,32527,52282
seat,27850,29297,28615,33369,37506,32454,28738,29468,32423,52056
stone,5800,12974,18172,57857,105188,65131,26268,12772,10792,16822
stone,6467,14042,19657,58046,100336,63267,27228,13754,11301,17678
stone,7225,14798,20752,57207,96801,63292,27246,14175,11655,18625
stone,7530,14667,20921,57840,95128,62941,27387,14199,11988,19175
stone,7355,13971,20645,58064,96648,63606,27259,13618,11744,18866
stone,6979,13016,20062,58864,99130,65267,26693,12658,11180,17927
stone,6445,11951,19090,58969,103226,66048,26123,11901,10731,17292
stone,6013,11400,18714,59288,105395,66609,25712,11749,10409,16487
stone,5820,13504,18440,57596,105064,64597,26248,13208,10659,16640
stone,6906,14872,20140,57130,98416,63247,27239,14181,11373,18272
stone,7840,15602,21470,57009,93228,61758,27796,15007,12206,19860
stone,8295,15485,22035,57335,90875,61050,28265,15054,12746,20636
stone,8086,14919,21530,57379,92928,62158,27724,14668,12414,19970
stone,7522,13605,20554,58714,96331,64131,27334,13365,11591,18629
stone,6759,12480,19756,58937,100287,65902,26606,12290,11055,17704
stone,6065,11876,18702,58763,104406,66551,25774,11865,10607,17167
stone,6068,14151,18963,56525,103906,63841,26255,13624,11196,17247
stone,7023,15426,20611,56456,97219,61899,27557,14856,11780,18949
stone,8343,16465,22036,56103,91042,60200,28634,15688,12683,20582
stone,8987,16457,22641,56523,88086,59369,28431,16201,13288,21793
stone,8546,15688,22058,57313,90025,61053,28064,15218,12914,20897
stone,7659,14074,20827,58507,94516,63439,27521,13652,12069,19512
stone,6837,13050,20160,59152,99314,64899,26631,12550,11255,17928
stone,6195,12144,18638,59527,103272,66755,25917,11825,10580,16923
stone,5736,13691,18570,57301,106020,63345,26293,13345,10855,16620
stone,6912,15019,20525,56865,98302,61842,27389,14715,11698,18509
stone,7723,15952,21731,56195,93946,60383,28027,15588,12372,19859
stone,8661,16362,22105,56239,90863,59407,28174,16072,12941,20952
stone,8479,15229,21881,57310,91705,60924,28193,14923,12518,20614
stone,7484,13973,21048,57887,96475,63386,27494,13377,11767,18885
stone,6722,12677,19665,58892,101449,64775,26344,12530,10906,17816
stone,5918,11831,18142,59144,106232,66571,25466,11581,10386,16505
stone,5535,12945,18263,56739,108216,63952,25780,12932,10781,16633
stone,6306,13847,19060,56787,104443,62635,26302,13674,11292,17430
stone,7023,15044,20372,56464,99797,61639,26960,14583,11622,18272
stone,7717,15275,21284,56500,95903,61158,27407,15081,12106,19345
stone,7494,14463,21138,57560,97082,61535,27101,14516,11852,19035
stone,6918,13244,19999,57957,101047,63837,26571,12918,11302,17983
stone,6101,11826,18585,59257,106089,65369,25404,11895,10631,16619
stone,5611,11220,17537,59040,109600,66450,25052,11290,10031,15945
