name,bin[0],bin[1],bin[2],bin[3],bin[4],bin[5],bin[6],bin[7],bin[8],bin[9],bin[10],bin[11],bin[12],bin[13],bin[14],bin[15],bin[16],bin[17],bin[18],bin[19],bin[20],bin[21],bin[22],bin[23],bin[24],bin[25]
canvas,25797,8143,9130,8683,7009,5580,4651,3957,3653,3464,3309,3304,3408,3843,3915,4260,4660,5210,5624,6565,7492,8869,9749,8369,21290,151842
canvas,25922,7790,9259,8989,7527,5881,4704,4204,3845,3566,3303,3351,3501,3991,3746,4387,4592,4935,5637,6321,7087,8505,9558,8649,21806,150720
canvas,26055,7902,9401,8866,7125,5651,4521,3907,3587,3375,3348,3221,3276,3699,3821,4240,4743,5149,5869,6527,7225,8523,9566,8595,21402,152182
canvas,26449,8238,9431,8775,6894,5416,4349,3638,3306,3097,3029,3068,3085,3580,3698,4386,4696,5246,5933,6736,7555,8583,9498,8607,21167,153316
canvas,26976,8182,9319,8543,7002,5576,4559,3796,3387,3007,2847,2794,2878,3489,3656,4331,4624,5315,6151,6797,7460,8918,9599,8503,20926,153141
canvas,26494,8606,9408,8856,6815,5383,4295,3721,3291,3066,2974,2830,2900,3306,3314,4011,4239,4973,5651,6587,7528,8617,9857,8564,21800,154690
canvas,25500,8553,9370,8379,6608,5433,4482,3940,3665,3493,3341,3327,3332,3602,3451,4191,4412,4909,5743,6546,7116,8537,9552,8372,21537,154385
canvas,23180,7683,8890,8223,7071,5910,5211,4683,4371,4154,4125,4208,4519,4906,4880,5216,5492,6094,6373,7082,7557,8348,8994,7724,19913,146969
canvas,23594,8057,8962,8094,6878,5699,4909,4369,3995,3845,3892,3890,4362,4652,4814,5264,5477,5939,6378,7044,7641,8679,9053,7778,19772,148739
canvas,23343,7801,8686,7907,6863,5889,4902,4499,4198,3958,3979,4159,4438,5102,5269,5856,6127,6601,6962,7373,7515,8435,8576,7447,19179,146712
canvas,22638,7743,8530,7830,6850,6044,5159,4841,4561,4301,4187,4364,4498,5277,5448,6197,6600,7030,7232,7502,7361,8103,8402,7401,18532,145145
canvas,22432,7562,8259,8054,7321,6304,5590,4965,4758,4515,4507,4270,4515,5013,5323,5855,6466,6919,7306,7608,7452,7783,8232,7392,18678,144697
canvas,23287,7931,8685,8277,7128,5982,5136,4473,4125,3840,3852,3782,4006,4585,4662,5369,5717,6290,6712,7031,7261,8066,8718,7825,19137,149899
canvas,23817,8265,9072,8205,6592,5527,4565,4143,3841,3791,3578,3590,3616,4084,4297,5049,5443,6013,6566,7094,7333,8207,8958,7898,19943,152289
canvas,22478,8253,8780,7578,6361,5444,4823,4447,4236,3983,3863,3797,3948,4386,4413,5046,5327,5829,6154,6643,6932,7707,8552,7858,19930,155008
cushion,4329,2021,2205,2492,3029,4274,5904,8969,13838,20724,29173,36497,36154,28596,19129,13074,9747,7518,5899,4773,3885,3321,2979,2402,6760,54084
cushion,5078,2652,2744,3103,3574,4467,6106,8938,13092,19242,26324,31819,32017,25752,17715,12231,9331,7346,6043,5175,4295,3596,3411,2919,7818,66988
cushion,6077,3077,3286,3481,3878,4707,6252,8994,12822,18075,24084,28215,28533,23673,16743,11851,8767,7205,5863,5177,4629,4325,3915,3327,8726,76094
cushion,6862,3474,3998,3910,4091,4848,6235,8844,12207,16947,21724,25551,25844,22076,16182,11635,8656,7132,5964,5349,4762,4589,4435,3612,9217,83632
cushion,6903,3580,4043,4015,4206,4846,6417,8804,12256,16542,21450,24846,25576,21488,15812,11655,8559,7094,5931,5205,4832,4498,4418,3809,9455,85536
cushion,6824,3474,3832,3793,4008,4772,6280,8819,12078,17068,22156,26267,26158,22096,15875,11353,8375,6709,5553,5028,4621,4540,4370,3834,9127,84766
cushion,5282,2694,3155,3251,3698,4666,6126,8885,13153,19136,26068,31165,30450,25134,17069,11505,8171,6433,5380,4761,4420,4132,3813,3354,8409,71466
cushion,4627,2188,2617,2738,3308,4208,5748,8953,13959,20750,29291,34662,33526,26576,18103,12229,8484,6633,5338,4485,3934,3802,3586,2986,7768,61277
cushion,4730,2163,2450,2795,3292,4253,5774,8908,13303,20379,28718,36030,35660,27539,18245,12951,9411,7658,6128,5180,4113,3533,3110,2559,7243,55651
cushion,5763,2946,3242,3327,3673,4520,5991,8456,12656,18301,25130,31038,30847,24805,17366,12256,9061,7160,6196,5439,4546,4069,3658,3020,8162,70148
cushion,6846,3367,3866,3849,4046,4801,6285,8561,11946,16937,22524,27155,27092,22758,16588,11977,9016,7246,5924,5376,4763,4687,4198,3300,9288,79380
cushion,7413,3863,4199,4147,4067,4770,6078,8406,11713,15882,20253,23990,23761,20874,15673,11233,8483,6944,5930,5342,4675,4679,4553,3953,9655,91240
cushion,8102,4327,4736,4457,4153,4782,6083,8184,11276,14854,18915,22262,22564,19455,14725,10943,8308,6863,5943,5351,4901,4921,4872,4324,10194,96281
cushion,7133,3524,4125,4142,4199,4847,6326,8672,11892,16460,21623,25533,25408,21632,15554,11194,8347,6674,5692,5269,4743,4626,4654,3941,9662,85904
cushion,6160,3067,3422,3500,3742,4513,6098,8898,12872,18439,24542,29156,28783,23573,16586,11494,8086,6550,5459,5030,4513,4321,4135,3568,9000,76269
cushion,5009,2404,2752,3014,3520,4426,6154,9166,13746,20308,28066,33213,32588,25723,17359,12081,8514,6847,5607,5010,4312,3954,3664,3098,8335,62906
cushion,4817,2226,2503,2968,3329,4312,5573,8369,13009,20212,29234,36823,36286,27279,17675,12359,9068,7315,6123,5079,4413,3895,3262,2583,7399,55665
cushion,5953,2980,3465,3674,3770,4575,6028,8549,12458,18356,25037,30815,30711,24956,17040,12295,9173,7514,6270,5461,4734,4305,3725,3094,8517,68321
cushion,7474,3650,4250,4215,4383,4816,6114,8414,11555,16111,21225,25364,26050,21587,15608,11582,8767,7192,6119,5660,4983,4776,4520,3755,9837,83769
cushion,7506,4251,4282,3944,3937,4463,5771,8143,11052,15279,19903,23468,23996,20587,15233,10973,8377,6994,5884,5264,4891,4616,4645,4044,9519,94754
cushion,7994,4468,4769,4051,3903,4534,5725,7633,10654,14419,18558,22365,23263,19911,14843,10805,8316,6685,5699,5162,4526,4735,4867,4456,9887,99548
cushion,7543,3749,4325,4104,4064,4717,5976,8311,11749,16415,21219,24974,25242,21471,15075,10983,8279,6881,5678,5370,4865,4860,4804,3954,9781,87387
cushion,6255,3017,3646,3718,3858,4524,6138,8649,12539,18134,24297,29108,28806,23303,16439,11551,8571,6993,5961,5078,4731,4438,4173,3345,9126,75378
cushion,5199,2302,2740,3079,3503,4306,5885,8630,13723,20608,28498,33624,32469,26033,17593,11977,8634,7112,5858,5228,4433,4072,3597,2857,8337,61479
cushion,4682,2203,2441,2767,3078,4198,5606,8347,13085,20866,30391,38282,36819,27022,17877,12689,9562,7718,6347,5343,4341,3656,3022,2338,7238,51858
cushion,6329,2944,3419,3656,3943,4826,6121,8841,12760,18279,24839,29884,29853,24090,17265,12422,9449,7862,6474,5642,4926,4339,3709,3159,8815,67930
cushion,7434,3628,4178,4330,4307,4909,6117,8451,11954,16571,21816,26555,27147,22275,15856,11558,9057,7522,6786,5820,5279,4850,4381,3531,9771,77693
cushion,8077,4278,4747,4329,4230,4728,6107,8193,11041,15356,19734,23447,23611,20423,14789,11222,8663,7202,6328,5863,5261,4987,4846,4008,10117,90189
cushion,7952,4317,4765,4378,4192,4648,5934,7864,11087,14710,19490,22882,23225,20353,14839,11010,8422,7182,6046,5583,5200,5061,4965,4180,10055,93436
cushion,7348,3553,4030,4010,4054,4578,5891,8308,11900,16942,22147,26603,26101,22221,15681,11476,8419,6805,6016,5518,4948,4935,4480,3720,9716,82376
cushion,6023,2948,3232,3342,3644,4495,5800,8298,12548,18747,25344,30646,30142,24312,16888,11389,8448,6746,5829,5341,4632,4294,4046,3267,8755,72620
cushion,4904,2300,2578,2649,3282,3936,5612,8485,13213,21051,29582,35744,34265,26986,17950,11956,8579,6881,5575,4957,4283,3790,3405,2857,7923,59033
cushion,5031,2254,2659,2897,3424,4441,6162,9000,13880,20717,28752,35123,34232,26954,18783,13494,10322,8184,6538,5616,4511,3706,3080,2488,7463,52065
cushion,6168,2962,3351,3734,4212,4982,6322,9045,12995,18252,25058,30316,30055,24535,16967,12421,9482,7855,6711,5937,5209,4397,3731,2985,8695,65399
cushion,7510,3674,4325,4352,4549,5263,6414,8449,11924,16306,21387,25763,25961,21925,16019,11953,9089,7691,6872,6022,5457,4915,4440,3629,9860,78027
cushion,8002,4277,4717,4494,4375,4985,6138,8409,11571,15506,20004,24223,24750,21035,15239,11324,8822,7288,6662,6064,5605,5281,4856,3869,9941,84339
cushion,7603,4229,4505,4320,4180,4690,5947,8270,11237,15624,20572,24802,25867,21703,15601,11451,8652,7371,6202,5858,5208,5078,4737,3818,9840,84411
cushion,7057,3550,3850,3909,4128,4612,5923,8275,12044,16987,22647,27219,27546,22893,15927,11471,8678,7082,5899,5370,4741,4679,4319,3732,9585,79653
cushion,5676,2713,3148,3182,3657,4227,5702,8272,12483,19188,26774,32600,31912,25164,17021,11721,8645,6869,5708,5092,4459,4045,3859,3278,8423,67958
cushion,4369,2309,2418,2684,3098,3869,5389,8244,13033,21165,31108,38148,35848,27322,17825,12206,8718,6966,5763,4917,4241,3613,3160,2597,7568,55198
linsseeds,8054,3531,4849,5595,6138,6310,6732,7805,9285,12180,18443,30816,38918,25595,15348,11104,8831,7964,7208,6881,6630,5931,4854,3188,7601,61985
linsseeds,9059,3756,5256,5943,6253,6185,6430,7457,8885,11977,17617,29130,35917,24915,15355,11041,8691,7691,7117,6739,6542,6314,5451,3516,8017,66522
linsseeds,10337,4370,5859,6383,6151,6199,6344,7069,8594,11077,16080,25840,31907,22604,14129,10238,8296,7177,6785,6833,7089,7008,5954,3962,9154,76337
linsseeds,10721,4569,6230,6409,6421,6129,6236,7104,8403,10761,15521,24990,30202,21530,13117,9776,7861,6917,6467,6669,6821,7213,6430,4349,9420,81510
linsseeds,10421,4392,6009,6455,6424,6309,6498,7518,8582,10970,15962,25095,30645,22109,13251,9884,7906,7225,6756,6820,7000,7060,6369,4163,9218,78735
linsseeds,9840,3816,5233,6072,6497,6817,7076,8167,9821,12793,18218,27810,33024,22701,13456,9614,7641,7060,6594,7018,6937,6825,5795,3888,8965,70098
linsseeds,8847,3223,4318,5386,6099,6722,7522,8568,10464,13844,20142,31042,35844,23811,13941,10087,8000,7395,6913,7202,6967,6687,5174,3108,8101,62369
linsseeds,8366,3174,4132,4924,5691,6565,7394,8843,11366,14414,20865,31248,35639,24260,14283,10509,8352,7538,7093,7041,6784,6251,4886,3187,7735,61236
linsseeds,8183,3397,4739,5759,6305,6506,6996,8021,9436,12183,18124,29832,38302,25953,15965,11348,8743,7815,6971,7036,6595,6216,4918,3103,7671,61659
linsseeds,9338,3959,5497,6263,6380,6445,6666,7685,9209,11705,17512,27948,34625,23561,14593,10774,8468,7688,7087,7095,6843,6471,5550,3653,8447,68314
linsseeds,11099,4999,6411,6679,6199,6063,6095,6731,8101,10542,14970,23816,29180,20724,13164,9675,7967,6874,6606,6542,6964,7418,6519,4469,9932,84037
linsseeds,11954,5343,6589,6405,5859,5661,5856,6717,8026,10488,14393,21856,26759,19643,12268,9034,7356,6696,6282,6466,6718,7261,6929,4985,10276,91956
linsseeds,11793,4984,6429,6430,6234,6115,6409,7096,8188,10314,14771,22822,27144,19475,12127,8847,7320,6651,6354,6544,6970,7449,6793,4778,10225,89514
linsseeds,10743,4106,5552,6218,6240,6319,6718,7806,9163,11767,16691,26148,31100,21874,13400,9555,7685,6856,6467,6736,6940,7057,6169,3988,9265,77213
linsseeds,9884,3584,4903,5807,6463,6877,7304,8437,10160,13027,18292,28522,32799,22672,14099,10019,8091,7366,7034,7336,7136,6877,5546,3576,8547,67418
linsseeds,8168,3086,4182,5103,6031,6564,7413,8512,10649,14070,20794,31698,36830,24935,14762,10838,8586,7761,7284,7184,6928,5942,4904,2934,7560,59058
linsseeds,8015,3185,4442,5714,6254,6463,6860,7769,9465,12383,18804,31045,38506,27219,16208,11318,8850,7794,7037,6978,6665,6064,4705,3021,7304,59708
linsseeds,9307,3775,5372,6420,6570,6883,6988,7905,9226,11588,17285,27413,33209,23497,14386,10758,8767,7743,7200,6994,6996,6804,5773,3590,8491,68836
linsseeds,11475,4923,6548,7011,6433,6111,6071,6732,7998,10277,14552,23040,28096,20134,12339,9350,7451,6870,6594,6785,6926,7553,6755,4554,10402,86796
linsseeds,11969,5471,6833,6573,5906,5845,5778,6437,7447,9716,13704,21732,26940,19385,12233,8883,7180,6378,6071,6176,6561,7380,7323,5216,10288,94351
linsseeds,12258,5323,6792,6798,6126,5850,5997,6623,7821,9731,13500,21101,25869,18593,11960,9190,7436,6780,6333,6500,6835,7400,7130,4983,10494,94353
linsseeds,11168,4548,6217,6532,6402,6403,6500,7253,8713,11054,15355,23381,28466,20112,13039,9722,7766,7183,6714,6768,7051,7340,6508,4352,9673,83556
linsseeds,10097,3699,5168,5945,6322,6690,7028,8037,9379,12469,17999,28007,33045,22664,13668,10004,8283,7301,7084,7263,7210,6900,5618,3519,8860,69517
linsseeds,8025,3120,4312,5425,5926,6778,7256,8457,10173,13592,20321,32241,37221,25303,15034,10773,8553,7764,7332,6922,6648,6221,4772,2993,7690,58924
linsseeds,8384,3259,4742,5893,6351,6664,7074,7923,9440,12693,18130,29936,36459,26141,16403,11907,9416,8082,7341,6987,6584,5904,4806,3107,7740,60410
linsseeds,9114,3458,4961,6146,6374,6573,7045,7994,9553,12396,18296,29159,35129,24587,14573,10645,8533,7702,7336,7071,7123,6450,5215,3365,8228,64750
linsseeds,10560,4454,5950,6551,6256,6019,6145,6766,8199,10591,15633,25837,32184,22956,13586,9644,7685,7066,6740,6733,6885,7090,6232,4164,9189,78661
linsseeds,11193,5174,6610,6369,6129,5901,6091,6608,7880,10340,14630,23148,27893,20201,12496,9307,7471,6998,6336,6528,6835,7163,6703,4799,9924,89049
linsseeds,11401,4954,6560,6699,6275,6100,6263,6836,8367,10358,14615,22918,27780,19825,12357,9178,7392,6751,6476,6494,6891,7439,6883,4766,9954,88244
linsseeds,11133,4535,6182,6492,6416,6224,6430,7198,8474,11011,15678,24666,29951,20868,12972,9689,7767,7054,6855,6946,7075,7170,6433,4217,9717,80623
linsseeds,9578,3779,5105,6037,6444,6718,6870,7854,9502,12303,17610,27832,32805,23026,14058,10420,8490,7623,7210,7257,7009,6491,5360,3519,8828,70048
linsseeds,8272,3309,4462,5421,6018,6643,7083,8186,9822,13306,19271,30892,37719,25497,14939,10357,8455,7448,6848,6937,6789,6148,4970,3172,7885,61927
linsseeds,8017,3037,4494,5399,6135,6457,6937,8023,9848,12925,19149,30449,37131,26559,16494,11803,9660,8209,7431,7146,6516,5761,4583,2987,7232,59394
linsseeds,8996,3494,5191,5799,6268,6484,6687,7695,9282,12197,17759,28457,34970,24886,15781,11618,9438,8188,7640,7225,6676,6099,4976,3107,7974,64889
linsseeds,9374,3852,5607,6161,6484,6520,6608,7482,8859,11580,16856,27359,33703,23848,14633,10682,8535,7713,7197,7093,7014,6540,5530,3580,8565,70401
linsseeds,9990,4476,5892,6454,6344,6252,6680,7224,8607,11204,16313,25361,31268,22113,13730,10122,7988,7260,6624,6748,6743,6977,6150,4147,9298,77811
linsseeds,10254,4332,5987,6521,6429,6402,6506,7248,8385,11209,16097,25763,31357,22172,13668,9924,8057,7197,6838,6927,6999,6953,6089,4056,9170,77236
linsseeds,9566,4005,5709,6247,6422,6338,6500,7230,8736,11548,17115,28031,34567,23433,14273,10536,8404,7446,7155,7301,7366,6844,5644,3541,8117,69702
linsseeds,8463,3400,4866,5538,6072,6550,6983,8271,9961,12653,18777,29880,36041,25374,15546,10993,8858,7991,7256,6977,6899,6218,4960,3071,7728,62450
linsseeds,8138,3280,4803,5625,6125,6327,6919,7635,9685,12319,18674,31240,38560,26007,15292,10638,8264,7359,6743,6790,6720,6125,4898,3355,7695,62560
sand,11828,3156,4289,5255,6418,7647,9379,11753,14293,17508,20609,21970,20140,16363,13493,12100,10921,10149,9278,8828,7497,6273,4581,2844,11782,63422
sand,11641,3478,4670,5489,6704,7737,9141,11282,13766,16871,19603,21178,19509,16417,13342,12027,11030,10096,9355,8248,7381,6483,4935,3055,11819,66519
sand,12306,3776,5033,5827,6678,7743,8849,10880,13504,15963,18759,20042,18288,15454,12549,11101,10216,9573,8766,8293,7534,6782,5329,3571,12382,72578
sand,11861,3842,4876,5834,6806,7797,8839,10754,13299,15736,18744,20424,18761,15540,12773,11326,10340,9402,8746,8208,7464,6829,5382,3587,12034,72572
sand,10758,3432,4501,5205,6338,7929,9211,11353,13718,16625,20042,21804,20190,17067,14338,12426,10604,9958,9208,8175,7358,6321,4894,3195,11079,66047
sand,8937,2961,3646,4411,5676,7326,8732,11428,14462,18123,22684,25680,24287,20389,15815,13314,11465,10230,8919,7869,6658,5350,4128,2728,9532,57026
sand,7765,2648,3289,4016,5200,6680,8536,11155,14642,18581,23983,28948,27692,22494,16912,13695,11047,9691,8436,7761,6287,5261,3797,2503,8443,52314
sand,6852,2561,3257,3978,5106,6622,8413,10919,14212,18299,24379,31567,31198,24606,17450,12899,10685,9211,8526,7436,6449,5095,3789,2314,7792,48161
sand,12442,3251,4466,5555,6955,8100,9651,11459,14096,16948,19421,20669,18562,15438,12735,11609,10536,10173,9378,8671,7622,6601,4909,3056,12642,66831
sand,12713,3572,4702,5662,6669,7893,9532,11618,13864,16542,18917,20001,18124,14876,12293,11204,10224,9459,8908,8616,7898,6805,5089,3231,12789,70575
sand,12762,3716,5074,6063,6804,7916,9214,11042,13130,15535,17853,18993,17803,14877,12285,10886,9873,9373,8961,8506,7641,6826,5387,3649,12657,74950
sand,12334,3978,5253,6166,6939,7856,9196,10922,13277,15822,17925,19185,17773,14791,12033,10901,9644,9174,8788,8328,7855,7101,5600,3644,12524,74767
sand,11431,3592,4793,5705,6765,7880,9209,11327,13766,16383,19133,20479,19398,16454,13299,11459,10366,9356,8903,8478,7503,6825,5249,3349,11643,69031
sand,9682,3149,4022,4831,5945,7495,9175,11617,14463,17774,21269,23887,22372,18760,14620,12839,10912,9666,8894,8127,6902,5826,4513,3038,10376,61622
sand,9062,3049,3849,4677,5757,7166,8701,11150,14422,17970,22101,25463,24019,19985,15702,13107,11031,9584,8726,7751,6825,5810,4538,2833,9469,59029
sand,7592,2718,3449,4314,5497,7000,8540,11240,13923,18215,23075,27968,27625,22563,17061,13399,11009,9546,8558,7565,6498,5493,4121,2608,8305,53894
sand,13116,3413,4679,5591,6847,8187,9564,11590,13968,16384,18842,19880,18406,15088,12205,10714,9808,9456,9081,8721,7862,6621,5236,3314,13019,70184
sand,13220,3750,4986,5846,7119,8139,9398,11157,13035,15630,17976,19011,17767,14762,11813,10720,9880,9421,8814,8365,7883,6740,5560,3470,13188,74126
sand,13881,3999,5582,6320,7143,8071,9165,10876,12836,14942,16825,17747,16000,13261,10942,9761,9065,8726,8308,8159,7937,7435,5958,3981,13843,81013
sand,14109,4268,5628,6519,7372,8096,9128,10786,12590,14307,16126,16570,15227,12871,10701,9739,9028,8569,8331,8248,7925,7417,6382,4234,13987,83618
sand,12814,3898,5276,5946,6984,8182,9402,11174,13181,15469,17576,19254,17541,14320,11790,10436,9432,9092,8621,8313,7721,7282,5802,3800,12806,75664
sand,11285,3432,4563,5379,6512,7885,9407,11480,14107,16775,19824,21227,19312,16384,13090,11383,10026,9229,8745,8445,7608,6705,5170,3359,11565,68879
sand,10086,3241,4067,4896,5978,7413,9080,11472,14213,17733,21169,23633,21957,18064,14620,12343,10754,9484,8422,7906,7097,6232,4984,3169,10300,63463
sand,8613,2939,3812,4695,5680,6926,8603,11138,14362,17899,22490,26267,24884,20638,16165,13054,10695,9499,8486,7737,6877,5912,4469,2841,9180,57915
sand,13382,3661,4971,5962,7146,8221,9443,11327,13257,15924,18010,19256,17763,14492,11615,10481,9783,9340,8985,8705,7684,6990,5421,3340,13576,73041
sand,13958,3867,5120,6182,7064,8064,9170,11335,13117,15333,17334,18318,16771,13897,11182,10260,9450,9159,8858,8681,8019,7350,5592,3572,13433,76690
sand,14070,4178,5538,6377,7199,7954,9356,10971,12866,14388,16429,17382,15805,13343,10590,9457,8915,8670,8402,8256,7975,7503,6132,4067,13865,82088
sand,14320,4397,5992,6682,7434,8016,9068,10548,12249,14115,15689,16402,15440,12665,10257,9164,8654,8418,8379,8385,7975,7784,6359,4249,14063,85072
sand,13517,4189,5497,6419,7277,8214,9152,10895,12533,14537,16343,17673,16249,13578,10947,9886,9157,8730,8320,8238,8015,7334,6011,3885,13671,81509
sand,12447,3733,4780,5825,6860,8058,9327,11406,13513,15835,18789,19654,17735,14980,11864,10784,9767,9248,8888,8523,7885,6975,5505,3619,12370,73406
sand,10722,3324,4317,5151,6487,7789,9327,11382,14235,17044,20554,22398,21014,17059,13512,11500,10003,9492,8793,8003,7343,6561,5167,3320,11059,66220
sand,9155,2929,3875,4599,5708,7185,9100,11240,14025,17933,22429,25721,24051,20105,15646,12708,10559,9657,8668,7971,7050,6023,4620,2872,9367,58580
sand,13944,3593,5043,6179,7378,8621,9617,11317,13047,15165,17425,18769,17478,14264,11227,10026,9377,8952,8939,8684,7984,7266,5717,3507,13642,74615
sand,14027,3927,5371,6315,7195,8097,9374,11087,12698,14936,16776,17704,16421,13671,11036,10025,9406,9024,8693,8434,7960,7318,5901,3780,13795,78805
sand,14497,4231,5451,6494,7221,7961,8983,10301,12134,13984,16259,17262,15726,13370,10936,9664,9203,8813,8394,8242,7831,7349,6052,4016,13783,83619
sand,13498,4093,5411,6278,6990,7962,8984,10621,12580,14821,16954,17996,16479,13962,10948,9782,8919,8575,8414,8092,7607,7279,6163,3909,13368,82091
sand,13177,3975,5322,6251,7260,8019,9030,10773,12550,14622,16939,18606,16968,14442,11409,10297,9573,9137,8688,8117,7617,7167,5978,3939,12923,78997
sand,12737,3760,4936,5926,6996,8004,9118,11263,13329,15738,18147,19466,17934,14593,12012,10643,9823,9458,8746,8271,7526,6808,5542,3570,12823,74607
sand,11084,3412,4416,5357,6519,8036,9419,11720,14017,16900,19791,21345,20357,16744,13311,11627,10564,9589,8997,8534,7595,6505,4990,3275,11391,66281
sand,10095,2996,4089,5182,6372,7760,9107,11377,14031,16934,20720,23546,22662,19050,15246,12724,10752,10049,8926,8326,7206,6116,4661,2921,10369,60559
seat,14938,7905,7661,6308,5778,5927,5817,5907,6156,5925,5834,5650,5472,5292,4907,4700,4513,4282,4295,4438,4672,5583,7559,8334,16267,167656
seat,15130,7809,7559,6439,5904,5874,5886,5971,6014,5950,6032,5820,5482,5443,4991,4856,4604,4516,4507,4536,4623,5786,7507,8357,16147,166033
seat,15157,7749,7435,6485,6169,6146,6253,6447,6170,6090,6086,5809,5625,5359,4732,4596,4286,4302,4469,4671,4677,5717,7517,8453,16335,165041
seat,15419,7836,7745,6754,6154,6157,6251,6055,5844,5821,5549,5340,5228,5103,4523,4410,4174,4174,4299,4494,4759,5734,7659,8694,16605,166995
seat,15080,7756,7509,6491,5877,6043,5998,6134,6056,5896,5797,5570,5156,5006,4698,4575,4197,4262,4263,4453,4598,5562,7622,8714,16329,168134
seat,14560,7683,7425,6137,5625,5847,5960,6205,6144,6152,5962,5892,5627,5434,4803,4680,4460,4253,4227,4368,4540,5436,7466,8404,15899,168587
seat,14505,7845,7367,6126,5566,5627,5798,6136,6198,6249,6079,5741,5550,5421,4871,4609,4373,4157,4213,4344,4510,5534,7452,8361,16111,169033
